CustomerID,CustomerName,Region,SubscriptionType,SubscriptionStart,SubscriptionEnd,DurationDays,Canceled,Revenue
201,John,North,Basic,2022/01/31,2023/01/31,365 ,FALSE,2638
202,Jane,South,Premium,2022/02/28,2023/02/28,365 ,TRUE,2456
203,Alex,East,Basic,2022/03/31,2023/03/31,365 ,FALSE,2833
204,Maria,West,Standard,2022/04/30,2023/04/30,365 ,TRUE,1309
205,James,North,Basic,2022/05/31,2023/05/31,365 ,FALSE,2153
206,Ella,South,Premium,2022/06/30,2023/06/30,365 ,TRUE,1317
207,Mike,East,Basic,2022/07/31,2023/07/31,365 ,FALSE,2991
208,Sara,West,Standard,2022/08/31,2023/08/31,365 ,FALSE,1278
209,Tom,North,Basic,2022/09/30,2023/09/30,365 ,TRUE,1296
210,Eva,South,Premium,2022/10/31,2023/10/31,365 ,TRUE,1168
211,Liam,East,Basic,2022/11/30,2023/11/30,365 ,FALSE,2502
212,Anna,West,Standard,2022/12/31,2023/12/31,365 ,FALSE,2855
213,Chris,North,Basic,2023/01/31,2024/01/31,365 ,TRUE,1807
214,Zoe,South,Premium,2023/02/28,2024/02/29,366 ,FALSE,1078
215,Paul,East,Basic,2023/03/31,2024/03/31,366 ,FALSE,2285
216,Grace,West,Standard,2023/04/30,2024/04/30,366 ,TRUE,1960
217,Rob,North,Basic,2023/05/31,2024/05/31,366 ,TRUE,2631
218,Sophia,South,Premium,2023/06/30,2024/06/30,366 ,FALSE,2485
219,Dan,East,Basic,2023/07/31,2024/07/31,366 ,FALSE,1980
220,Nina,West,Standard,2023/08/31,2024/08/31,366 ,TRUE,2443
201,John,North,Basic,2022/01/31,2023/01/31,365 ,FALSE,1728
202,Jane,South,Premium,2022/02/28,2023/02/28,365 ,TRUE,1360
203,Alex,East,Basic,2022/03/31,2023/03/31,365 ,FALSE,2787
204,Maria,West,Standard,2022/04/30,2023/04/30,365 ,TRUE,1143
205,James,North,Basic,2022/05/31,2023/05/31,365 ,FALSE,2996
206,Ella,South,Premium,2022/06/30,2023/06/30,365 ,TRUE,2040
207,Mike,East,Basic,2022/07/31,2023/07/31,365 ,FALSE,1873
208,Sara,West,Standard,2022/08/31,2023/08/31,365 ,FALSE,1312
209,Tom,North,Basic,2022/09/30,2023/09/30,365 ,TRUE,2258
210,Eva,South,Premium,2022/10/31,2023/10/31,365 ,TRUE,1921
211,Liam,East,Basic,2022/11/30,2023/11/30,365 ,FALSE,1286
212,Anna,West,Standard,2022/12/31,2023/12/31,365 ,FALSE,2597
213,Chris,North,Basic,2023/01/31,2024/01/31,365 ,TRUE,2275
214,Zoe,South,Premium,2023/02/28,2024/02/29,366 ,FALSE,1019
215,Paul,East,Basic,2023/03/31,2024/03/31,366 ,FALSE,2212
216,Grace,West,Standard,2023/04/30,2024/04/30,366 ,TRUE,2511
217,Rob,North,Basic,2023/05/31,2024/05/31,366 ,TRUE,1308
218,Sophia,South,Premium,2023/06/30,2024/06/30,366 ,FALSE,1925
219,Dan,East,Basic,2023/07/31,2024/07/31,366 ,FALSE,1047
220,Nina,West,Standard,2023/08/31,2024/08/31,366 ,TRUE,2639
201,John,North,Basic,2022/01/31,2023/01/31,365 ,FALSE,1829
202,Jane,South,Premium,2022/02/28,2023/02/28,365 ,TRUE,1067
203,Alex,East,Basic,2022/03/31,2023/03/31,365 ,FALSE,1125
204,Maria,West,Standard,2022/04/30,2023/04/30,365 ,TRUE,2633
205,James,North,Basic,2022/05/31,2023/05/31,365 ,FALSE,2633
206,Ella,South,Premium,2022/06/30,2023/06/30,365 ,TRUE,2850
207,Mike,East,Basic,2022/07/31,2023/07/31,365 ,FALSE,1845
208,Sara,West,Standard,2022/08/31,2023/08/31,365 ,FALSE,2947
209,Tom,North,Basic,2022/09/30,2023/09/30,365 ,TRUE,2919
210,Eva,South,Premium,2022/10/31,2023/10/31,365 ,TRUE,1052
211,Liam,East,Basic,2022/11/30,2023/11/30,365 ,FALSE,2051
212,Anna,West,Standard,2022/12/31,2023/12/31,365 ,FALSE,1800
213,Chris,North,Basic,2023/01/31,2024/01/31,365 ,TRUE,2183
214,Zoe,South,Premium,2023/02/28,2024/02/29,366 ,FALSE,1066
215,Paul,East,Basic,2023/03/31,2024/03/31,366 ,FALSE,2068
216,Grace,West,Standard,2023/04/30,2024/04/30,366 ,TRUE,1917
217,Rob,North,Basic,2023/05/31,2024/05/31,366 ,TRUE,1222
218,Sophia,South,Premium,2023/06/30,2024/06/30,366 ,FALSE,2805
219,Dan,East,Basic,2023/07/31,2024/07/31,366 ,FALSE,2278
220,Nina,West,Standard,2023/08/31,2024/08/31,366 ,TRUE,1180
201,John,North,Basic,2022/01/31,2023/01/31,365 ,FALSE,2251
202,Jane,South,Premium,2022/02/28,2023/02/28,365 ,TRUE,2147
203,Alex,East,Basic,2022/03/31,2023/03/31,365 ,FALSE,2601
204,Maria,West,Standard,2022/04/30,2023/04/30,365 ,TRUE,2810
205,James,North,Basic,2022/05/31,2023/05/31,365 ,FALSE,2292
206,Ella,South,Premium,2022/06/30,2023/06/30,365 ,TRUE,2537
207,Mike,East,Basic,2022/07/31,2023/07/31,365 ,FALSE,1904
208,Sara,West,Standard,2022/08/31,2023/08/31,365 ,FALSE,1500
209,Tom,North,Basic,2022/09/30,2023/09/30,365 ,TRUE,1518
210,Eva,South,Premium,2022/10/31,2023/10/31,365 ,TRUE,2980
211,Liam,East,Basic,2022/11/30,2023/11/30,365 ,FALSE,1602
212,Anna,West,Standard,2022/12/31,2023/12/31,365 ,FALSE,1705
213,Chris,North,Basic,2023/01/31,2024/01/31,365 ,TRUE,2865
214,Zoe,South,Premium,2023/02/28,2024/02/29,366 ,FALSE,1299
215,Paul,East,Basic,2023/03/31,2024/03/31,366 ,FALSE,2711
216,Grace,West,Standard,2023/04/30,2024/04/30,366 ,TRUE,1994
217,Rob,North,Basic,2023/05/31,2024/05/31,366 ,TRUE,1268
218,Sophia,South,Premium,2023/06/30,2024/06/30,366 ,FALSE,1118
219,Dan,East,Basic,2023/07/31,2024/07/31,366 ,FALSE,2097
220,Nina,West,Standard,2023/08/31,2024/08/31,366 ,TRUE,2951
201,John,North,Basic,2022/01/31,2023/01/31,365 ,FALSE,2318
202,Jane,South,Premium,2022/02/28,2023/02/28,365 ,TRUE,1693
203,Alex,East,Basic,2022/03/31,2023/03/31,365 ,FALSE,1819
204,Maria,West,Standard,2022/04/30,2023/04/30,365 ,TRUE,2217
205,James,North,Basic,2022/05/31,2023/05/31,365 ,FALSE,1545
206,Ella,South,Premium,2022/06/30,2023/06/30,365 ,TRUE,1358
207,Mike,East,Basic,2022/07/31,2023/07/31,365 ,FALSE,1140
208,Sara,West,Standard,2022/08/31,2023/08/31,365 ,FALSE,2138
209,Tom,North,Basic,2022/09/30,2023/09/30,365 ,TRUE,2522
210,Eva,South,Premium,2022/10/31,2023/10/31,365 ,TRUE,1602
211,Liam,East,Basic,2022/11/30,2023/11/30,365 ,FALSE,2624
212,Anna,West,Standard,2022/12/31,2023/12/31,365 ,FALSE,1700
213,Chris,North,Basic,2023/01/31,2024/01/31,365 ,TRUE,1933
214,Zoe,South,Premium,2023/02/28,2024/02/29,366 ,FALSE,2431
215,Paul,East,Basic,2023/03/31,2024/03/31,366 ,FALSE,1167
216,Grace,West,Standard,2023/04/30,2024/04/30,366 ,TRUE,2522
217,Rob,North,Basic,2023/05/31,2024/05/31,366 ,TRUE,1285
218,Sophia,South,Premium,2023/06/30,2024/06/30,366 ,FALSE,2126
219,Dan,East,Basic,2023/07/31,2024/07/31,366 ,FALSE,2862
220,Nina,West,Standard,2023/08/31,2024/08/31,366 ,TRUE,2879
201,John,North,Basic,2022/01/31,2023/01/31,365 ,FALSE,1974
202,Jane,South,Premium,2022/02/28,2023/02/28,365 ,TRUE,1722
203,Alex,East,Basic,2022/03/31,2023/03/31,365 ,FALSE,1922
204,Maria,West,Standard,2022/04/30,2023/04/30,365 ,TRUE,1592
205,James,North,Basic,2022/05/31,2023/05/31,365 ,FALSE,1148
206,Ella,South,Premium,2022/06/30,2023/06/30,365 ,TRUE,2680
207,Mike,East,Basic,2022/07/31,2023/07/31,365 ,FALSE,2734
208,Sara,West,Standard,2022/08/31,2023/08/31,365 ,FALSE,2914
209,Tom,North,Basic,2022/09/30,2023/09/30,365 ,TRUE,1124
210,Eva,South,Premium,2022/10/31,2023/10/31,365 ,TRUE,2145
211,Liam,East,Basic,2022/11/30,2023/11/30,365 ,FALSE,1642
212,Anna,West,Standard,2022/12/31,2023/12/31,365 ,FALSE,2094
213,Chris,North,Basic,2023/01/31,2024/01/31,365 ,TRUE,1887
214,Zoe,South,Premium,2023/02/28,2024/02/29,366 ,FALSE,2602
215,Paul,East,Basic,2023/03/31,2024/03/31,366 ,FALSE,2633
216,Grace,West,Standard,2023/04/30,2024/04/30,366 ,TRUE,2191
217,Rob,North,Basic,2023/05/31,2024/05/31,366 ,TRUE,1131
218,Sophia,South,Premium,2023/06/30,2024/06/30,366 ,FALSE,2380
219,Dan,East,Basic,2023/07/31,2024/07/31,366 ,FALSE,1283
220,Nina,West,Standard,2023/08/31,2024/08/31,366 ,TRUE,1327
